time,open,high,low,close,BOS Demand,CHOCH Demand,BOS Supply,CHOCH Supply,New Demand Zone,New Supply Zone,Zone Mitigated,Zone Broken,Volume Spike,Bullish Sweep,Bearish Sweep,Bullish Confirmation,Bearish Confirmation,ATR Short Stop Loss,ATR Long Stop Loss,ATR,Volume,Volume EMA,Spike Threshold,CVD Oscillator,Bullish Divergence,Bearish Divergence,Bullish Cross,Bearish Cross,CVD,Signal
1781236800,29530.75,29531.5,29505.5,29515.25,0,0,0,0,0,0,0,0,0,0,0,0,1,29573.411182725096,29463.588817274904,27.94078848339844,2371,2694.8058977928563,4285.0632700339265,-102.09372008146977,0,0,0,1,7592.702825488117,8978.197626467432
1781237100,29514.5,29514.5,29492.75,29503.25,0,0,0,0,0,0,0,0,0,0,0,0,1,29555.828241101877,29451.421758898123,27.552160734584266,2346,2578.5372651952375,4042.2088466892847,-196.4128379235225,0,0,0,0,6379.254549626048,8730.679238196824
1781237400,29503,29519.75,29496,29516.75,0,0,0,0,0,0,0,0,0,0,0,1,0,29560.670866737455,29455.079133262545,27.280577824971108,2416,2524.358176796825,3867.8058977928563,-26.199781514350732,0,0,0,0,7777.9913917313115,8639.947062342966
1781237700,29516.5,29523.5,29492.75,29499.25,0,0,0,0,0,0,0,0,0,0,0,0,1,29564.792590541925,29451.457409458075,27.528393694616028,2380,2476.2387845312164,3786.5372651952375,-144.429502401281,0,0,0,0,6442.869440511799,8430.701574549521
1781238000,29498.25,29523.75,29488.5,29517.25,0,0,0,0,0,0,0,0,0,1,0,1,0,29565.869905503216,29446.380094496784,28.079937002143456,2893,2615.1591896874775,3714.3581767968244,32.4826147144511,0,0,1,0,8002.216958242296,8389.893515853595
1781238300,29516.5,29539.25,29514.75,29534.75,0,0,0,0,0,0,0,0,0,0,0,1,0,29580.986340824413,29473.013659175587,27.824227216276064,2363,2531.106126458318,3922.738784531216,195.3931413534579,0,0,0,0,9762.410835793316,8520.60945108595
1781238600,29535.25,29545.75,29524,29534.5,0,0,0,0,0,0,0,0,0,0,0,0,1,29586.835530765526,29482.914469234474,27.390353843684917,2361,2474.4040843055454,3796.659189687477,153.60523851032497,0,0,0,0,9680.997042689869,8631.122555048227
1781238900,29533.5,29534,29521.25,29525,0,0,0,0,1,0,0,0,0,0,0,0,1,29573.570492853705,29481.679507146295,26.380328569135994,1791,2246.602722870364,3711.606126458318,13.795465335705948,0,0,0,0,8486.997042689869,8617.396315776003
1781239200,29525.25,29544.25,29520.75,29537.75,0,0,0,0,0,0,0,0,0,0,0,1,0,29583.511886221295,29481.488113778705,26.174590814197707,1848,2113.7351485802424,3369.9040843055454,104.51094972780514,0,0,0,0,9469.975766094125,8698.594358663442
1781239500,29538,29547.25,29530.25,29535,0,0,0,0,0,0,0,0,0,0,0,0,1,29585.528894348347,29491.971105651653,25.51926289889787,1863,2030.1567657201615,3170.6027228703633,54.34136962011394,0,0,0,0,9141.211060211772,8740.748330239474
